timestamp,request_id,user_email,optimization_method,total_time_seconds,courses_processed,total_sections_analyzed,total_attempts,models_used,total_tokens,total_cost,success_status,schedule_classes_count
2025-08-17T01:01:05.105821,req_1755417665_1838,,ai,18.63,1,12,0,,3825,0.0045,success,2
2025-08-17T01:04:53.768868,req_1755417893_3631,,ai_exception_fallback,1.47,1,0,0,,4272,0.004272,success,2
2025-08-17T01:05:44.073501,req_1755417944_5147,,ai,14.96,1,12,0,,3580,0.0044,success,2
2025-08-17T01:12:07.915786,req_1755418327_8153,,ai,282.69,8,124,0,,20852,0.1295,success,12
